,노선,일자,정류장순번,정류장,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3
52,7770,2022-06-02(목),8,장안문.느림보타운,1,14,23,59,35,23,16,11,12,8,8,10,8,13,11,10,5,6,7,3,0,1,2,0
53,7770,2022-06-02(목),9,KT수원지사.국민연금북수원지사,0,7,22,45,28,13,13,11,9,4,7,11,6,10,14,7,4,2,3,2,0,2,0,0
54,7770,2022-06-02(목),10,수원종합운동장.수원시체육회관.아너스빌위즈,2,12,79,154,83,34,25,13,15,16,6,9,16,10,11,6,3,2,4,0,1,2,1,0
55,7770,2022-06-02(목),11,수원KT위즈파크.경기도청소년활동진흥센터,1,8,74,138,106,45,22,17,15,12,8,12,22,20,19,4,10,4,3,1,0,0,0,0
56,7770,2022-06-02(목),12,한일타운.경기일보.홈플러스,2,25,109,146,138,88,72,64,47,46,36,25,44,36,37,32,15,12,15,3,3,1,1,0
57,7770,2022-06-02(목),13,수일여중.대우건설기술연구원.경기도융합과학교육원,0,5,17,22,19,16,11,6,7,2,3,9,4,2,4,1,0,3,0,1,2,0,1,0
58,7770,2022-06-02(목),14,수일중학교,1,10,16,31,22,28,13,12,11,4,9,6,7,9,4,3,2,3,0,0,0,1,1,0
59,7770,2022-06-02(목),15,한국가스안전공사.택시공제조합,0,4,2,24,28,18,6,4,2,5,2,1,3,2,6,3,1,0,1,0,0,1,0,0
60,7770,2022-06-02(목),16,삼익아파트.광교산입구,5,10,13,21,25,28,16,11,11,8,10,10,6,12,10,0,5,8,5,2,0,0,0,0
61,7770,2022-06-02(목),17,경기도인재개발원.경기연구원.경기도평생교육진흥원.경기도여성가족재단,2,3,5,14,10,7,4,1,6,4,3,10,16,24,28,14,9,4,1,1,1,1,1,1
62,7770,2022-06-02(목),19,의왕톨게이트,1,9,21,31,23,10,13,14,5,5,1,4,4,10,16,6,3,0,4,1,0,1,1,0
63,7770,2022-06-02(목),25,관문사거리부대앞,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64,7770,2022-06-02(목),27,남태령역(중),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,7770,2022-06-02(목),29,사당역(중),0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,2,2,0,0,0,0,0,0
66,7770,2022-06-02(목),31,사당역4번출구,0,44,72,178,178,86,89,75,103,118,165,188,288,449,611,618,394,393,346,398,72,30,10,9
67,7770,2022-06-02(목),34,관문사거리부대앞,0,3,5,10,10,3,4,0,1,1,1,1,5,4,1,1,0,0,3,0,0,1,0,0
68,7770,2022-06-02(목),40,의왕톨게이트,0,0,2,1,10,2,3,2,4,2,0,5,5,10,11,29,1,4,4,2,4,1,0,0
